time,x,y,z
3.018,-0.722889418,-0.367745539,18.32865514
3.02,-0.715988618,-0.380981746,18.23169972
3.022,-0.709486362,-0.394199068,18.13527382
3.024,-0.70337443,-0.40740202,18.03937457
3.026,-0.697644853,-0.420595199,17.94399912
3.028,-0.692289912,-0.433783278,17.84914469
3.03,-0.687302135,-0.446971001,17.75480855
3.032,-0.682674293,-0.460163182,17.66098799
3.034,-0.678399395,-0.473364702,17.56768037
3.036,-0.674470689,-0.486580502,17.47488306
3.038,-0.670881651,-0.499815591,17.3825935
3.04,-0.667625985,-0.513075032,17.29080916
3.042,-0.664697625,-0.526363946,17.19952755
3.044,-0.662090724,-0.539687507,17.10874621
3.046,-0.659799655,-0.553050941,17.01846274
3.048,-0.657819007,-0.566459529,16.92867477
3.05,-0.656143578,-0.5799186,16.83937995
3.052,-0.654768378,-0.593433533,16.750576
3.054,-0.653688623,-0.607009752,16.66226064
3.056,-0.65289973,-0.620652731,16.57443166
3.058,-0.652397315,-0.63436799,16.48708688
3.06,-0.652177193,-0.648161097,16.40022413
3.062,-0.652235372,-0.662037662,16.31384132
3.064,-0.652568049,-0.676003345,16.22793636
3.066,-0.65317161,-0.690063849,16.14250721
3.068,-0.654042626,-0.704224924,16.05755187
3.07,-0.65517785,-0.71849237,15.97306838
3.072,-0.656574214,-0.732872028,15.8890548
3.074,-0.658228828,-0.747369791,15.80550924
3.076,-0.660138976,-0.761991598,15.72242985
3.078,-0.662302113,-0.776743439,15.63981481
3.08,-0.664715865,-0.791631353,15.55766233
3.082,-0.667378024,-0.80666143,15.47597067
3.084,-0.670286547,-0.821839812,15.39473814
3.086,-0.673439555,-0.837172695,15.31396306
3.088,-0.676835326,-0.852666331,15.2336438
3.09,-0.6804723,-0.868327026,15.15377879
3.092,-0.684349073,-0.884161145,15.07436648
3.094,-0.688464392,-0.900175114,14.99540536
3.096,-0.692817161,-0.916375419,14.91689396
3.098,-0.697406432,-0.932768608,14.83883088
3.1,-0.702231406,-0.949361296,14.76121472
3.102,-0.707291435,-0.966160165,14.68404417
3.104,-0.712586011,-0.983171964,14.60731792
3.106,-0.718114776,-1.000403515,14.53103475
3.108,-0.723877512,-1.017861712,14.45519345
3.11,-0.729874142,-1.035553528,14.37979287
3.112,-0.736104732,-1.05348601,14.30483193
3.114,-0.742569484,-1.071666286,14.23030956
3.116,-0.749268741,-1.09010157,14.15622478
3.118,-0.75620298,-1.108799159,14.08257664
3.12,-0.763372815,-1.127766439,14.00936425
3.122,-0.770778997,-1.147010885,13.93658678
3.124,-0.778422408,-1.166540069,13.86424345
3.126,-0.786304064,-1.186361655,13.79233353
3.128,-0.794425116,-1.206483411,13.72085638
3.13,-0.802786845,-1.226913203,13.64981138
3.132,-0.811390663,-1.247659004,13.57919802
3.134,-0.820238115,-1.268728895,13.50901581
3.136,-0.829330875,-1.290131069,13.43926437
3.138,-0.838670746,-1.31187383,13.36994334
3.14,-0.848259664,-1.333965603,13.30105248
3.142,-0.858099693,-1.356414933,13.2325916
3.144,-0.868193027,-1.379230489,13.16456057
3.146,-0.878541988,-1.402421065,13.09695937
3.148,-0.889149029,-1.42599559,13.02978804
3.15,-0.900016732,-1.449963124,12.96304671
3.152,-0.91114781,-1.474332865,12.8967356
3.154,-0.922545104,-1.499114155,12.83085499
3.156,-0.934211584,-1.524316477,12.76540529
3.158,-0.946150355,-1.549949464,12.70038698
3.16,-0.958364648,-1.576022903,12.63580065
3.162,-0.970857829,-1.602546735,12.57164697
3.164,-0.983633392,-1.62953106,12.50792674
3.166,-0.996694967,-1.656986142,12.44464085
3.168,-1.010046315,-1.684922413,12.3817903
3.17,-1.023691332,-1.713350476,12.31937621
3.172,-1.037634047,-1.742281108,12.25739982
3.174,-1.051878625,-1.771725266,12.19586249
3.176,-1.066429369,-1.801694089,12.1347657
3.178,-1.081290716,-1.832198903,12.07411107
3.18,-1.096467245,-1.863251227,12.01390035
3.182,-1.111963671,-1.894862773,11.95413543
3.184,-1.127784851,-1.927045453,11.89481835
3.186,-1.143935785,-1.959811383,11.8359513
3.188,-1.160421613,-1.993172885,11.77753661
3.19,-1.177247622,-2.027142493,11.71957679
3.192,-1.194419242,-2.061732957,11.66207451
3.194,-1.211942053,-2.096957249,11.60503261
3.196,-1.229821783,-2.132828562,11.54845411
3.198,-1.248064308,-2.169360322,11.49234221
3.2,-1.266675658,-2.206566185,11.4367003
3.202,-1.285662015,-2.244460041,11.38153199
3.204,-1.305029717,-2.283056025,11.32684107
3.206,-1.324785257,-2.322368516,11.27263156
3.208,-1.344935289,-2.362412145,11.2189077
3.21,-1.365486627,-2.403201796,11.16567393
3.212,-1.386446247,-2.444752611,11.11293496
3.214,-1.407821288,-2.487079993,11.06069573
3.216,-1.429619057,-2.530199608,11.00896145
3.218,-1.451847028,-2.574127395,10.95773758
3.22,-1.474512845,-2.618879568,10.90702986
3.222,-1.497624327,-2.664472622,10.8568443
3.224,-1.521189467,-2.710923332,10.80718722
3.226,-1.545216433,-2.75824876,10.75806522
3.228,-1.569713571,-2.806466248,10.70948526
3.23,-1.594689411,-2.855593437,10.6614546
3.232,-1.620152663,-2.905648266,10.61398083
3.234,-1.646112226,-2.956648973,10.56707192
3.236,-1.672577187,-3.008614102,10.52073618
3.238,-1.699556823,-3.061562505,10.47498229
3.24,-1.727060601,-3.115513336,10.42981934
3.242,-1.755098183,-3.170486052,10.38525685
3.244,-1.78367943,-3.226500433,10.34130473
3.246,-1.812814402,-3.283576577,10.29797334
3.248,-1.842513362,-3.341734903,10.25527347
3.25,-1.872786778,-3.400996152,10.2132164
3.252,-1.903645325,-3.461381388,10.17181388
3.254,-1.935099882,-3.522911981,10.1310782
3.256,-1.967161541,-3.585609627,10.09102214
3.258,-1.999841609,-3.649496352,10.05165905
3.26,-2.033151606,-3.714594504,10.01300283
3.262,-2.067103273,-3.780926755,9.975067948
3.264,-2.101708567,-3.848516096,9.937869502
3.266,-2.136979668,-3.91738584,9.901423201
3.268,-2.172928981,-3.987559622,9.865745403
3.27,-2.209569135,-4.059061397,9.830853139
3.272,-2.24691299,-4.131915438,9.796764127
3.274,-2.284973631,-4.206146316,9.76349682
3.276,-2.323764372,-4.281778902,9.731070426
3.278,-2.363298761,-4.358838374,9.699504916
3.28,-2.403590581,-4.43735021,9.668821064
3.282,-2.44465385,-4.51734018,9.639040472
3.284,-2.48650282,-4.598834327,9.610185605
3.286,-2.529151975,-4.681858949,9.582279826
3.288,-2.572616039,-4.76644062,9.555347414
3.29,-2.616909975,-4.852606169,9.529413598
3.292,-2.662048983,-4.940382666,9.504504594
3.294,-2.708048502,-5.029797411,9.480647641
3.296,-2.754924199,-5.120877882,9.457871045
3.298,-2.802691982,-5.21365177,9.436204197
3.3,-2.851367997,-5.308146951,9.415677619
3.302,-2.900968624,-5.404391465,9.396323001
3.304,-2.951510477,-5.502413499,9.378173235
3.306,-3.003010394,-5.602241321,9.361262473
3.308,-3.05548544,-5.703903298,9.345626154
3.31,-3.108952907,-5.807427868,9.331301048
3.312,-3.16343031,-5.912843504,9.318325301
3.314,-3.218935379,-6.020178683,9.306738481
3.316,-3.275486053,-6.129461849,9.296581617
3.318,-3.333100486,-6.240721392,9.287897251
3.32,-3.391797031,-6.353985609,9.280729486
3.322,-3.451594238,-6.469282648,9.275124032
3.324,-3.512510839,-6.586640444,9.271128252
3.326,-3.574565749,-6.706086717,9.268791222
3.328,-3.637778058,-6.827648907,9.268163772
3.33,-3.702167019,-6.951354123,9.269298543
3.332,-3.767752028,-7.077229048,9.272250028
3.334,-3.834552626,-7.205299917,9.277074639
3.336,-3.902588483,-7.335592457,9.283830753
3.338,-3.971879387,-7.468131812,9.29257877
3.34,-4.042445217,-7.602942432,9.303381155
3.342,-4.114305935,-7.74004802,9.316302496
3.344,-4.187481572,-7.879471468,9.331409569
3.346,-4.261992215,-8.021234765,9.348771385
3.348,-4.337857971,-8.165358881,9.368459239
3.35,-4.415098946,-8.311863642,9.390546745
3.352,-4.493735236,-8.460767692,9.415109921
3.354,-4.5737869,-8.612088358,9.442227232
3.356,-4.65527393,-8.765841538,9.471979637
3.358,-4.738216207,-8.922041511,9.504450593
3.36,-4.822633489,-9.080700887,9.539726159
3.362,-4.908545384,-9.241830461,9.577895029
3.364,-4.995971308,-9.405439066,9.619048578
3.366,-5.084930434,-9.571533364,9.663280839
3.368,-5.175441663,-9.740117731,9.710688584
3.37,-5.267523594,-9.911194112,9.761371375
3.372,-5.361194476,-10.08476184,9.815431591
3.374,-5.45647215,-10.26081741,9.8729744
3.376,-5.553373988,-10.4393543,9.934107744
3.378,-5.651916873,-10.62036278,9.998942455
3.38,-5.752117135,-10.80382974,10.06759223
3.382,-5.853990486,-10.98973846,10.14017362
3.384,-5.957551939,-11.17806827,10.21680592
3.386,-6.062815768,-11.36879446,10.29761123
3.388,-6.169795431,-11.56188795,10.38271444
3.39,-6.278503501,-11.75731509,10.47224318
3.392,-6.388951587,-11.95503733,10.56632771
3.394,-6.501150257,-12.15501103,10.66510094
3.396,-6.615108959,-12.35718712,10.76869834
3.398,-6.73083591,-12.5615108,10.87725769
3.4,-6.848338027,-12.76792126,10.99091916
3.402,-6.967620827,-12.97635141,11.10982512
3.404,-7.088688322,-13.18672749,11.23411996
3.406,-7.211542911,-13.39896882,11.36394991
3.408,-7.336185281,-13.61298742,11.49946294
3.41,-7.462614293,-13.82868771,11.64080854
3.412,-7.590826848,-14.04596616,11.78813734
3.414,-7.720817784,-14.26471096,11.94160101
3.416,-7.852579739,-14.48480163,12.10135199
3.418,-7.986103026,-14.70610871,12.26754307
3.42,-8.121375492,-14.92849348,12.44032706
3.422,-8.25838238,-15.15180748,12.61985651
3.424,-8.39710619,-15.37589222,12.80628331
3.426,-8.537526528,-15.60057895,12.9997581
3.428,-8.679619958,-15.82568822,13.20042993
3.43,-8.823359839,-16.05102954,13.40844582
3.432,-8.968716179,-16.27640115,13.62395009
3.434,-9.115655478,-16.50158981,13.84708375
3.436,-9.264140547,-16.72637034,14.07798404
3.438,-9.414130351,-16.95050539,14.31678372
3.44,-9.565579865,-17.17374548,14.56361028
3.442,-9.718439886,-17.39582856,14.81858529
